"(Parent)","(Бацька)"
"Add Rule","Дадаць правіла"
"Save and Continue Edit","Захаваць і працягнуць рэдагаванне"
"Add A/B Testing","Дадаць A / B тэставанне"
"Parent","бацька"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","новае правіла"
"Rule Information","правіла Інфармацыя"
"Actions","дзеянні"
"Apply the rule only to block matching the following conditions (leave blank for all items).","Прымяненне правілы толькі для ўзгаднення блокаў наступных умоў (пакіньце пустой для ўсіх элементаў)."
"Apply To","звяртацца"
"Block Configuration","канфігурацыя блока"
"Block name","імя блока"
"Enter the block's name. It's only visible in the frontend.","Калі ласка, увядзіце імя блока. Гэта відаць толькі ў вэб-інтэрфейсе."
"Product layout","макет прадукту"
"Grid","сетка"
"Slider","паўзунок"
"Select how products are displayed.","Абярыце спосаб адлюстравання прадуктаў."
"Limit number of products","Гранічная колькасць прадуктаў"
"Display ""Out-of-stock"" products","Дысплей «адсутныя» прадукты"
"Yes","ды"
"No","няма"
"Product order","заказ прадукцыі"
"Display additional information","Адлюстраванне дадатковай інфармацыі"
"Select information or button(s) to display with products.","Выберыце інфармацыю або кнопку (ы) для адлюстравання з прадуктамі."
"Conditions","ўмовы"
"Conditions (don't add conditions if rule is applied to all products)","Ўмовы (не дадаваць ўмовы, калі правіла прымяняецца да ўсіх прадуктам)"
"Rule Name","Імя правілы"
"Enter the rule's name here, it's only visible in the backend.","Калі ласка, увядзіце імя правілы тут, гэта відаць толькі ў інтэрфейсе."
"Location","размяшчэнне"
"Select the position to display block.","Абярыце пазіцыю для адлюстравання блока."
"Status","статус"
"Active","актыўны"
"Inactive","неактыўны"
"Select Active to enable the rule.","Выберыце Актыўны, каб уключыць правіла."
"Store Views","магазін праглядаў"
"Customer Groups","групы кліентаў"
"Select customer group(s) to display the block to","Выбар групы кліентаў (ы), каб адлюстраваць блок у"
"From","ад"
"Select the starting date when the rule is enabled.","Выберыце пачатковую дату, калі правіла ўключана."
"To","да"
"Select the ending date when the rule is disabled.","Выберыце канчатковую дату, калі адключана правіла."
"Priority","прыярытэт"
"Enter a number to set priority for the rule. A lower number represents a higher priority.","Калі ласка, увядзіце лік, каб задаць прыярытэт для правілы. Больш нізкае лік ўяўляе сабой больш высокі прыярытэт."
"ID","ID"
"Name","імя"
"Name in %1","Імя ў %1"
"Type","тып"
"Attribute Set","атрыбут Set"
"SKU","SKU"
"Price","цана"
"Quantity","колькасць"
"Visibility","бачнасць"
"Variant","варыянт"
"Impression","адбітак"
"Click","націсніце"
"CTR","CTR"
"Enabled","уключана"
"Disabled","інвалід"
"There are no items.","Там няма тавараў."
"A/B Testing","Тэставанне А / Б"
"Related Block Rule","Звязаныя Блок Правіла"
"Promotions","зніжэнне цаны"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Мы знайшлі абноўленыя правілы, якія не ўжываюцца. Калі ласка, націсніце «Ужыць правілы», каб абнавіць свой каталог."
"An error occurred","Адбылася памылка"
"AutoRelated","AutoRelated"
"Manage Rules","кіраванне правілаў"
"You deleted the rule.","Вы выдалілі правіла."
"We can't delete this rule right now. Please review the log and try again.","Мы не можам выдаліць гэтае правіла прама цяпер. Калі ласка, праглядзіце часопіс і паспрабуйце ізноў."
"We can't find a rule to delete.","Мы не можам знайсці правіла для выдалення."
"Something went wrong.","Нешта пайшло не так."
"This rule no longer exists.","Гэтае правіла не больш не існуе."
"Can not Add A/B Testing.","Немагчыма дадаць A / B тэставанне."
"Edit Rule","рэдагаванне правілаў"
"New Related Block Rule","Новы Змяненні Блок Правіла"
"Related Block Rules","Звязаныя Блокавыя Правілы"
"The wrong rule is specified.","Няправільнае правіла паказваецца."
"You saved the rule.","Вы захавалі правіла."
"Something went wrong while saving the rule data. Please review the error log.","Нешта пайшло не так пры захаванні гэтых правілаў. Калі ласка, праглядзіце часопіс памылак."
"Add to cart button","Дадаць у кошык кнопку"
"Add to Wishlist","Дадаць у абранае"
"Add to Compare","Дадаць у параўнанне"
"Review information","прааналізаваць інфармацыю"
"Bestsellers","лідэры продажаў"
"Lowest Price","Самыя нізкія цэны"
"Highest Price","вышэйшая цана"
"Newest","найноўшы"
"Random","выпадковы"
"Subtotal","падузровень"
"Total Items Quantity","Усяго элементаў Колькасць"
"Total Weight","агульная вага"
"Quantity in cart","Колькасць у кошыку"
"Price in cart","Цана ў кошык"
"Row total in cart","Агульная Роу ў кошык"
"Conditions Combination","ўмовы Combination"
"Cart Item Attribute","Кошык тавару Навык"
"Product Attribute","атрыбут прадукту"
"FOUND","Знайдзіце"
"NOT FOUND","Не знойдзена"
"If an item is %1 in the cart with %2 of these conditions true:","Калі элемент знаходзіцца ў кошыку з %2 гэтых умоў праўдзівых %1:"
"total quantity","агульная колькасць"
"total amount","Агульная колькасць"
"is","з'яўляецца"
"is not","не"
"equals or greater than","роўная або больш"
"equals or less than","роўная або менш, чым"
"greater than","больш"
"less than","менш"
"is one of","з'яўляецца адным з"
"is not one of","не адзін з"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","Калі %1 %2 %3 для Subselection элементаў у кошыку супастаўлення %4 гэтых умоў:"
"Product attribute combination","спалучэнне атрыбутаў прадукту"
"Products subselection","прадукты Subselection"
"Conditions combination","ўмовы спалучэння"
"Cart Attribute","кошык Навык"
"Replace native related product block","Замяніць роднай звязаны блок прадукту"
"Before native related products","Перад натыўных звязаных з імі прадуктаў"
"After native related products","Пасля таго, як родных спадарожных тавараў"
"Replace upsell product block","Замяніць Upsell блок прадукту"
"Before upsell products","Перад Upsell прадукцыі"
"After upsell products","Пасля Upsell прадуктаў"
"Above Content","вышэй Змест"
"Below Content","ніжэй Змест"
"Custom","выраблены на замову"
"Product Page","старонка прадукту"
"Category Page","катэгорыя Page"
"Shopping Cart Page","кошык Page"
"Category","катэгорыя"
"PREVIEW PRODUCTS","PREVIEW ПРАДУКТЫ"
"Statistic","статыстыка"
"Total","агульны"
"Child","дзіця"
"Add to Cart","Дадаць у кошык"
"In stock","у запасе"
"Out of stock","Няма ў наяўнасці"
"HIDE PRODUCTS","HIDE ПРАДУКТЫ"
"Mageplaza AutoRelated","Mageplaza AutoRelated"
"Automatic Related Products","Аўтаматычныя Змяненні, прадукты"
"General Configuration","агульная канфігурацыя"
"Enable Automatic Related Products","Ўключэнне аўтаматычнага Іншыя прадукты"
"Select Yes to enable this module.","Вылучыце Так, каб уключыць гэты модуль."
"Start","пачатак"
"End","канец"
