"(Parent)","（家長）"
"Add Rule","添加規則"
"Save and Continue Edit","保存並繼續編輯"
"Add A/B Testing","添加A / B測試"
"Parent","親"
"Edit Rule '%1'","編輯規則'%1'"
"New Rule","新規則"
"Rule Information","規則信息"
"Actions","操作"
"Apply the rule only to block matching the following conditions (leave blank for all items).","僅應用規則來阻止匹配以下條件（對於所有項目保留空白）。"
"Apply To","適用於"
"Block Configuration","塊配置"
"Block name","塊名稱"
"Enter the block's name. It's only visible in the frontend.","輸入塊的名稱。它只在前端可見。"
"Product layout","產品佈局"
"Grid","格"
"Slider","滑塊"
"Select how products are displayed.","選擇產品的顯示方式。"
"Limit number of products","限制產品數量"
"Display ""Out-of-stock"" products","顯示“缺貨”產品"
"Yes","是"
"No","沒有"
"Product order","產品訂單"
"Display additional information","顯示附加信息"
"Select information or button(s) to display with products.","選擇信息或按鈕以與產品一起顯示。"
"Conditions","條件"
"Conditions (don't add conditions if rule is applied to all products)","條件（如果規則適用於所有產品，則不要添加條件）"
"Rule Name","規則名稱"
"Enter the rule's name here, it's only visible in the backend.","在這裡輸入規則的名稱，它只在後端顯示。"
"Location","位置"
"Select the position to display block.","選擇顯示塊的位置。"
"Status","狀態"
"Active","活性"
"Inactive","待用"
"Select Active to enable the rule.","選擇活動啟用規則。"
"Store Views","存儲視圖"
"Customer Groups","客戶群"
"Select customer group(s) to display the block to","選擇客戶組以顯示該塊"
"From","從"
"Select the starting date when the rule is enabled.","選擇規則啟用時的開始日期。"
"To","至"
"Select the ending date when the rule is disabled.","選擇禁用規則時的結束日期。"
"Priority","優先"
"Enter a number to set priority for the rule. A lower number represents a higher priority.","輸入一個數字來為規則設置優先級。較低的數字表示較高的優先級。"
"ID","ID"
"Name","名稱"
"Name in %1","姓名 %1"
"Type","類型"
"Attribute Set","屬性集"
"SKU","SKU"
"Price","價錢"
"Quantity","數量"
"Visibility","能見度"
"Variant","變種"
"Impression","印象"
"Click","點擊"
"CTR","CTR"
"Enabled","啟用"
"Disabled","殘"
"There are no items.","沒有物品。"
"A/B Testing","A / B測試"
"Related Block Rule","相關的阻止規則"
"Promotions","促銷"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","我們找到了未應用的更新規則。請點擊“應用規則”更新您的目錄。"
"An error occurred","發生錯誤"
"AutoRelated","AutoRelated"
"Manage Rules","管理規則"
"You deleted the rule.","你刪除了規則。"
"We can't delete this rule right now. Please review the log and try again.","我們現在無法刪除此規則。請查看日誌並重試。"
"We can't find a rule to delete.","我們找不到要刪除的規則。"
"Something went wrong.","出了些問題。"
"This rule no longer exists.","此規則不再存在。"
"Can not Add A/B Testing.","不能添加A / B測試。"
"Edit Rule","編輯規則"
"New Related Block Rule","新的相關阻止規則"
"Related Block Rules","相關阻止規則"
"The wrong rule is specified.","指定了錯誤的規則。"
"You saved the rule.","你保存了規則。"
"Something went wrong while saving the rule data. Please review the error log.","保存規則數據時出錯。請查看錯誤日誌。"
"Add to cart button","添加到購物車按鈕"
"Add to Wishlist","添加到心願單"
"Add to Compare","加入對比"
"Review information","查看信息"
"Bestsellers","最暢銷"
"Lowest Price","最低價格"
"Highest Price","最高的價格"
"Newest","最新"
"Random","隨機"
"Subtotal","小計"
"Total Items Quantity","總項目數量"
"Total Weight","總重量"
"Quantity in cart","購物車中的數量"
"Price in cart","價格在購物車"
"Row total in cart","行總共在購物車"
"Conditions Combination","條件組合"
"Cart Item Attribute","購物車物品屬性"
"Product Attribute","產品屬性"
"FOUND","FOUND"
"NOT FOUND","未找到"
"If an item is %1 in the cart with %2 of these conditions true:","如果購物車中的某個商品是 %1 ，且其中有 %2 個條件為真："
"total quantity","總數（量"
"total amount","總金額"
"is","是"
"is not","不是"
"equals or greater than","等於或大於"
"equals or less than","等於或小於"
"greater than","比...更棒"
"less than","少於"
"is one of","是其中之一"
"is not one of","不是其中之一"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","如果 %1 %2 %3 用於購物車匹配 %4 這些條件中的物品的次選："
"Product attribute combination","產品屬性組合"
"Products subselection","產品選擇"
"Conditions combination","條件組合"
"Cart Attribute","購物車屬性"
"Replace native related product block","替換原生相關產品塊"
"Before native related products","本地相關產品之前"
"After native related products","本土相關產品後"
"Replace upsell product block","替換upsell產品塊"
"Before upsell products","向上銷售產品之前"
"After upsell products","上傳產品後"
"Above Content","以上內容"
"Below Content","內容下方"
"Custom","習慣"
"Product Page","產品頁面"
"Category Page","類別頁面"
"Shopping Cart Page","購物車頁面"
"Category","類別"
"PREVIEW PRODUCTS","預覽產品"
"Statistic","統計"
"Total","總"
"Child","兒童"
"Add to Cart","添加到購物車"
"In stock","有現貨"
"Out of stock","缺貨"
"HIDE PRODUCTS","隱藏產品"
"Mageplaza AutoRelated","Mageplaza AutoRelated"
"Automatic Related Products","自動相關產品"
"General Configuration","一般配置"
"Enable Automatic Related Products","啟用自動相關產品"
"Select Yes to enable this module.","選擇是啟用此模塊。"
"Start","開始"
"End","結束"
